cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,16,3072,1536,asm,5,6,6.2764,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,24.06,771.38,0.0
256,16,4096,512,ck,7,3,3.1003,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,21.65,721.35,0.0
256,16,7168,2048,ck,7,3,7.3311,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,64.08,2038.19,0.0
256,16,4608,7168,asm,13,6,10.6569,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,99.18,3124.01,0.0039
256,16,7168,2304,ck,7,2,8.1436,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,64.9,2060.67,0.0
256,16,128,7168,asm,7,8,7.1972,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,4.08,143.98,0.0161
256,16,2112,7168,ck,7,3,17.3577,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,27.91,882.67,0.0
256,16,2240,7168,ck,7,2,17.4387,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,29.46,931.42,0.0
256,16,8192,1536,ck,7,2,6.5706,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,61.28,1958.67,0.0
256,16,11264,1536,ck,7,0,6.7797,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,81.66,2608.75,0
256,32,3072,1536,asm,6,7,6.4081,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,47.13,774.7,0.0
256,32,4096,512,ck,7,3,3.3335,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,40.26,712.67,0.0
256,32,7168,2048,ck,7,2,7.4283,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,126.48,2046.81,0.0
256,32,4608,7168,asm,14,7,11.1661,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,189.32,3005.03,0.0064
256,32,7168,2304,asm,3,4,8.1926,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,129.01,2080.85,0.0
256,32,128,7168,asm,7,8,6.9733,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,8.42,165.64,0.001
256,32,2112,7168,ck,7,0,17.8478,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,54.29,868.64,0.0
256,32,2240,7168,ck,7,0,17.8057,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,57.71,922.69,0.0
256,32,8192,1536,ck,7,0,6.6621,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,120.88,1974.81,0.0
256,32,11264,1536,ck,12,3,7.3765,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,150.11,2449.88,0.0
